t_s,t_wall,prefix_cache_queries,prefix_cache_hits,preemptions,kv_cache_usage,requests_running,requests_waiting,prompt_tokens,generation_tokens,request_success,iteration_tokens,prefix_cache_hit_rate_window
0.02,1789134315.5366,10.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,1.0,18.0,
2.07,1789134317.5867,18859.0,0.0,0.0,0.0338,1.0,0.0,18859.0,90.0,1.0,18949.0,0.0
4.08,1789134319.6018,40411.0,16592.0,0.0,0.0432,2.0,0.0,40411.0,439.0,2.0,24258.0,0.7699
6.1,1789134321.6159,65143.0,17728.0,0.0,0.0836,3.0,1.0,40411.0,615.0,2.0,24434.0,0.0459
8.14,1789134323.6597,87894.0,28080.0,0.0,0.0989,3.0,0.0,87894.0,1017.0,3.0,60831.0,0.455
10.16,1789134325.6749,87894.0,28080.0,0.0,0.1002,3.0,0.0,87894.0,1695.0,3.0,61509.0,
12.17,1789134327.6884,139937.0,75664.0,0.0,0.1072,3.0,0.0,110938.0,2256.0,5.0,62314.0,0.9143
14.18,1789134329.7014,139937.0,75664.0,0.0,0.052,1.0,0.0,139937.0,2801.0,7.0,67074.0,
16.26,1789134331.7819,182206.0,87024.0,0.0,0.1104,2.0,2.0,139937.0,2819.0,7.0,67092.0,0.2688
18.28,1789134333.7971,254634.0,144672.0,0.0,0.1758,5.0,0.0,224896.0,2836.0,7.0,98708.0,0.7959
20.29,1789134335.81,254634.0,144672.0,0.0,0.189,5.0,0.0,254634.0,3427.0,7.0,113389.0,
22.3,1789134337.8223,322159.0,186576.0,0.0,0.2084,7.0,0.0,290301.0,4057.0,8.0,120294.0,0.6206
24.32,1789134339.8366,368587.0,207920.0,0.0,0.2449,8.0,1.0,322159.0,4119.0,8.0,139702.0,0.4597
26.33,1789134341.8505,368587.0,207920.0,0.0,0.2741,8.0,2.0,322159.0,4175.0,8.0,139758.0,
28.34,1789134343.864,400459.0,224016.0,0.0,0.3033,9.0,3.0,368587.0,4237.0,8.0,164904.0,0.505
30.36,1789134345.878,466515.0,258768.0,0.0,0.3435,12.0,0.0,422925.0,4338.0,8.0,191887.0,0.5261
32.37,1789134347.8925,520845.0,312480.0,0.0,0.3666,12.0,0.0,496771.0,5096.0,10.0,213323.0,0.9886
34.39,1789134349.9063,619463.0,407408.0,0.0,0.3741,12.0,0.0,619463.0,6291.0,14.0,218346.0,0.9626
36.4,1789134351.9212,655584.0,431056.0,0.0,0.3293,11.0,0.0,655584.0,7127.0,17.0,231655.0,0.6547
38.42,1789134353.9364,763728.0,531936.0,0.0,0.4118,14.0,0.0,763728.0,8408.0,18.0,240200.0,0.9328
40.43,1789134355.9509,847354.0,603120.0,0.0,0.4351,15.0,0.0,834893.0,9270.0,20.0,252627.0,0.8512
42.44,1789134357.9645,924106.0,656208.0,0.0,0.4311,15.0,1.0,877858.0,10487.0,22.0,254921.0,0.6917
44.46,1789134359.977,924106.0,656208.0,0.0,0.4566,15.0,1.0,877858.0,10585.0,22.0,255019.0,
46.47,1789134361.9916,970262.0,701920.0,0.0,0.4571,15.0,0.0,970262.0,12018.0,24.0,280360.0,0.9904
48.49,1789134364.0091,1068323.0,790032.0,0.0,0.4474,14.0,0.0,1068323.0,12993.0,29.0,291284.0,0.8985
50.5,1789134366.0231,1172031.0,893104.0,0.0,0.4193,13.0,0.0,1172031.0,14565.0,33.0,293492.0,0.9939
52.52,1789134368.0368,1272376.0,987472.0,0.0,0.4069,12.0,0.0,1247822.0,15643.0,38.0,300409.0,0.9404
54.53,1789134370.05,1315988.0,1029792.0,0.0,0.4096,12.0,0.0,1315988.0,16986.0,39.0,303182.0,0.9704
56.55,1789134372.0661,1391323.0,1101056.0,0.0,0.4168,12.0,0.0,1391323.0,18118.0,41.0,308385.0,0.946
58.56,1789134374.0804,1457716.0,1166784.0,0.0,0.4177,12.0,0.0,1457716.0,19489.0,44.0,310421.0,0.99
60.58,1789134376.0959,1573259.0,1281776.0,0.0,0.3832,11.0,0.0,1573259.0,20820.0,48.0,312303.0,0.9952
62.59,1789134378.1107,1713939.0,1421680.0,0.0,0.3205,9.0,0.0,1695979.0,22052.0,54.0,314111.0,0.9945
64.6,1789134380.1231,1807605.0,1514912.0,0.0,0.3277,8.0,0.0,1807605.0,23207.0,57.0,315900.0,0.9954
66.62,1789134382.1361,2009936.0,1712720.0,0.0,0.3151,7.0,0.0,1980930.0,24043.0,63.0,318557.0,0.9776
68.63,1789134384.1493,2108202.0,1810112.0,0.0,0.3192,7.0,0.0,2108202.0,24894.0,65.0,322984.0,0.9911
70.64,1789134386.1645,2233353.0,1934128.0,0.0,0.3221,7.0,0.0,2233353.0,25785.0,68.0,325010.0,0.9909
72.66,1789134388.1774,2377893.0,2078176.0,0.0,0.3242,7.0,0.0,2332372.0,26705.0,71.0,326277.0,0.9966
74.67,1789134390.1918,2410217.0,2110080.0,0.0,0.323,7.0,0.0,2410217.0,27688.0,72.0,327825.0,0.987
76.69,1789134392.2075,2520036.0,2216720.0,0.0,0.297,6.0,0.0,2520036.0,28385.0,76.0,331701.0,0.9711
78.7,1789134394.2211,2565799.0,2262336.0,0.0,0.2984,6.0,0.0,2565799.0,29268.0,77.0,332731.0,0.9968
80.72,1789134396.2351,2664454.0,2360480.0,0.0,0.2496,5.0,0.0,2664454.0,30097.0,80.0,334071.0,0.9948
82.73,1789134398.2521,2746146.0,2440704.0,0.0,0.2526,5.0,0.0,2746146.0,30818.0,82.0,336260.0,0.982
84.74,1789134400.2644,2746146.0,2440704.0,0.0,0.2033,4.0,0.0,2746146.0,31600.0,83.0,337042.0,
86.75,1789134402.2735,2793018.0,2487264.0,0.0,0.1688,3.0,0.0,2793018.0,32138.0,85.0,337892.0,0.9933
88.77,1789134404.2874,2793018.0,2487264.0,0.0,0.1416,2.0,0.0,2793018.0,32682.0,86.0,338436.0,
90.78,1789134406.2999,2847430.0,2541120.0,0.0,0.1699,3.0,0.0,2847430.0,33176.0,87.0,339486.0,0.9898
92.79,1789134408.3118,2897024.0,2588064.0,0.0,0.1747,3.0,0.0,2897024.0,33594.0,88.0,342554.0,0.9466
94.81,1789134410.3263,2897024.0,2588064.0,0.0,0.1757,3.0,0.0,2897024.0,34128.0,88.0,343088.0,
96.82,1789134412.3382,2947778.0,2637744.0,0.0,0.178,3.0,0.0,2947778.0,34602.0,89.0,344636.0,0.9788
98.83,1789134414.3514,2983437.0,2670128.0,0.0,0.1813,3.0,0.0,2983437.0,35014.0,90.0,348323.0,0.9082
100.85,1789134416.365,2983437.0,2670128.0,0.0,0.1531,2.0,0.0,2983437.0,35427.0,91.0,348736.0,
102.86,1789134418.3787,3033735.0,2719760.0,0.0,0.2054,3.0,0.0,3033735.0,35824.0,91.0,349799.0,0.9868
104.87,1789134420.3913,3033735.0,2719760.0,0.0,0.2064,3.0,0.0,3033735.0,36355.0,91.0,350330.0,
106.89,1789134422.4048,3084269.0,2770144.0,0.0,0.2073,3.0,0.0,3084269.0,36854.0,92.0,350979.0,0.997
108.9,1789134424.4179,3135664.0,2820720.0,0.0,0.2093,3.0,0.0,3135664.0,37331.0,93.0,352275.0,0.9841
110.91,1789134426.4313,3135664.0,2820720.0,0.0,0.1557,2.0,0.0,3135664.0,37827.0,94.0,352771.0,
112.92,1789134428.443,3220348.0,2884720.0,0.0,0.1597,3.0,0.0,3187295.0,38166.0,95.0,353253.0,0.7558
