run_id,student,persona,burst,step,start_s,end_s,ttft_s,total_s,connect_s,prompt_tokens,reported_prompt_tokens,cached_prompt_tokens,output_tokens,decode_tps,itl_p50_s,ok,error,phase
engine_seqs_64,14,worstelaar,1,0,2.043,3.403,0.6763,1.36,0.0009,9893,10490,,87,125.7765,0.0072,1,,warmup
engine_seqs_64,14,worstelaar,1,1,3.406,8.054,0.214,4.6483,0.0005,10449,11059,,197,44.2011,0.0078,1,,warmup
engine_seqs_64,1,gemiddelde,1,0,4.5,11.689,2.7461,7.189,0.0011,21816,22751,,467,104.8859,0.009,1,,warmup
engine_seqs_64,12,gemiddelde,1,0,4.446,11.778,1.8223,7.3317,0.0546,24031,24732,,73,13.0684,0.0092,1,,warmup
engine_seqs_64,1,gemiddelde,1,1,11.691,14.075,0.1607,2.3837,0.0005,22100,23048,,142,63.4276,0.0095,1,,warmup
engine_seqs_64,13,worstelaar,1,0,0.399,14.076,1.1921,13.676,0.0005,17979,18849,,740,59.1962,0.0089,1,,warmup
engine_seqs_64,1,gemiddelde,1,2,14.076,21.591,3.7191,7.515,0.002,22394,23343,,169,44.2576,0.0111,1,,warmup
engine_seqs_64,6,gemiddelde,1,0,16.293,31.714,2.7709,15.421,0.0004,28569,29738,,230,18.1027,0.0112,1,,warmup
engine_seqs_64,1,gemiddelde,1,3,21.593,32.402,0.2804,10.8082,0.0005,22921,23884,,103,9.6886,0.024,1,,warmup
engine_seqs_64,7,worstelaar,1,0,26.516,33.172,3.8584,6.6562,0.0003,17323,18115,,93,32.883,0.0149,1,,warmup
engine_seqs_64,13,worstelaar,1,1,14.077,33.277,3.7188,19.1998,0.0015,18470,19357,,244,15.6967,0.022,1,,warmup
engine_seqs_64,19,gemiddelde,1,0,22.824,33.894,6.027,11.0692,0.0003,30664,31872,,128,25.1872,0.015,1,,warmup
engine_seqs_64,9,gemiddelde,1,0,27.703,33.981,3.7625,6.2784,0.0004,24449,25475,,126,49.6836,0.0149,1,,warmup
engine_seqs_64,5,afhaker,1,0,20.874,36.027,0.4894,15.1521,0.001,11156,11805,,250,16.9819,0.0149,1,,warmup
engine_seqs_64,9,gemiddelde,1,1,33.983,36.397,0.4045,2.4134,0.0005,24827,25867,,56,27.3791,0.0152,1,,warmup
engine_seqs_64,16,doorpakker,1,0,22.166,36.972,5.0599,14.8052,0.0007,44726,46428,,231,23.6011,0.0151,1,,warmup
engine_seqs_64,8,gemiddelde,1,0,24.789,37.419,4.9276,12.6294,0.0004,21544,22466,,129,16.6196,0.0153,1,,warmup
engine_seqs_64,16,doorpakker,1,1,36.974,38.94,0.2954,1.9654,0.0005,45315,47031,,84,49.7009,0.0159,1,,warmup
engine_seqs_64,11,afhaker,1,0,36.309,40.379,0.5547,4.0694,0.0018,10839,11553,,105,29.5899,0.0159,1,,warmup
engine_seqs_64,6,gemiddelde,1,1,31.717,41.29,0.2375,9.573,0.0005,29059,30245,,232,24.7443,0.0155,1,,warmup
engine_seqs_64,8,gemiddelde,1,1,37.42,42.18,0.2016,4.7598,0.0005,21771,22706,,106,23.0352,0.0161,1,,warmup
engine_seqs_64,9,gemiddelde,1,2,36.401,45.289,0.5632,8.8869,0.0005,25810,26864,,160,19.1021,0.0303,1,,warmup
engine_seqs_64,8,gemiddelde,1,2,42.181,46.004,2.7601,3.8223,0.0005,21997,22948,,67,62.1386,0.0163,1,,warmup
engine_seqs_64,5,afhaker,1,1,36.03,46.901,0.1767,10.8696,0.0006,11920,12583,,271,25.2504,0.0161,1,,warmup
engine_seqs_64,7,worstelaar,1,1,33.173,46.903,0.2128,13.7272,0.0005,17529,18334,,387,28.562,0.0161,1,,warmup
engine_seqs_64,19,gemiddelde,1,1,33.895,47.001,0.2466,13.1047,0.0005,30951,32172,,408,31.6532,0.0161,1,,warmup
engine_seqs_64,8,gemiddelde,1,3,46.005,48.001,0.2063,1.995,0.0005,22273,23238,,38,20.6863,0.0161,1,,warmup
engine_seqs_64,1,gemiddelde,1,4,32.402,48.229,0.18,15.8267,0.0003,23127,24098,,540,34.4483,0.0159,1,,warmup
engine_seqs_64,19,gemiddelde,1,2,47.002,49.242,0.9931,2.2393,0.0005,31921,33155,,41,32.0972,0.016,1,,warmup
engine_seqs_64,4,doorpakker,1,0,41.569,49.273,3.3719,7.7032,0.0012,44637,46248,,177,40.634,0.0163,1,,warmup
engine_seqs_64,15,gemiddelde,1,0,34.696,49.279,1.1451,14.5823,0.0012,22558,23532,,202,14.9585,0.0163,1,,warmup
engine_seqs_64,19,gemiddelde,1,3,49.243,50.767,0.2851,1.5241,0.0005,32089,33331,,54,42.774,0.016,1,,warmup
engine_seqs_64,8,gemiddelde,1,4,48.003,50.83,0.1976,2.8266,0.0005,22588,23566,,94,35.3757,0.016,1,,warmup
engine_seqs_64,10,worstelaar,1,0,46.999,51.223,0.994,4.2237,0.0029,16215,17020,,141,43.3476,0.0161,1,,warmup
engine_seqs_64,12,gemiddelde,1,1,11.793,51.562,0.5882,39.768,0.0005,28254,28972,,1248,31.8277,0.0153,1,,warmup
engine_seqs_64,15,gemiddelde,1,1,49.28,52.186,0.3789,2.9061,0.0004,22821,23795,,86,33.6331,0.0158,1,,warmup
engine_seqs_64,1,gemiddelde,1,5,48.231,52.932,0.2065,4.7008,0.0005,23348,24327,,235,52.0651,0.0158,1,,warmup
engine_seqs_64,2,doorpakker,1,0,14.074,53.982,3.7195,39.908,0.0025,40788,42269,,1107,30.5623,0.0157,1,,warmup
engine_seqs_64,16,doorpakker,1,2,38.941,55.177,0.259,16.2354,0.0004,45547,47262,,549,34.3006,0.016,1,,warmup
engine_seqs_64,18,gemiddelde,1,0,39.057,55.954,1.1766,16.8959,0.0014,23061,23905,,623,39.5693,0.0159,1,,warmup
engine_seqs_64,15,gemiddelde,1,2,52.193,57.031,0.3372,4.8372,0.0005,24850,25842,,88,19.3335,0.0168,1,,warmup
engine_seqs_64,13,worstelaar,1,2,33.288,58.107,0.4202,24.8185,0.001,21394,22298,,658,26.9281,0.0207,1,,warmup
engine_seqs_64,10,worstelaar,1,1,51.226,58.463,0.1922,7.2369,0.0005,16723,17542,,334,47.2694,0.0156,1,,warmup
engine_seqs_64,2,doorpakker,1,1,53.987,59.173,0.3889,5.1849,0.0005,42119,43617,,238,49.4164,0.0158,1,,warmup
engine_seqs_64,12,gemiddelde,1,2,51.574,59.869,0.5688,8.2944,0.0012,31638,32369,,369,47.6339,0.0157,1,,warmup
engine_seqs_64,4,doorpakker,1,1,49.274,60.063,0.3833,10.7888,0.0004,44934,46558,,472,45.2645,0.0157,1,,warmup
engine_seqs_64,1,gemiddelde,1,6,52.933,60.413,0.2169,7.4799,0.0005,23547,24542,,372,51.0806,0.0157,1,,warmup
engine_seqs_64,4,doorpakker,1,2,60.065,61.632,0.2975,1.5664,0.0005,45248,46886,,57,44.131,0.0151,1,,warmup
engine_seqs_64,15,gemiddelde,1,3,57.032,62.02,0.199,4.9875,0.0005,25080,26086,,243,50.5374,0.0154,1,,warmup
engine_seqs_64,1,gemiddelde,1,7,60.414,62.743,0.2162,2.3287,0.0005,23755,24764,,131,61.5385,0.0151,1,,warmup
engine_seqs_64,16,doorpakker,1,3,55.183,62.761,0.4766,7.5771,0.0005,47307,49036,,401,56.3335,0.0155,1,,warmup
engine_seqs_64,10,worstelaar,1,2,58.464,62.8,0.2191,4.3349,0.0009,16935,17767,,217,52.4817,0.0152,1,,warmup
engine_seqs_64,2,doorpakker,1,2,59.174,62.969,0.2814,3.7949,0.0005,42346,43860,,188,53.2228,0.0152,1,,warmup
engine_seqs_64,13,worstelaar,1,3,58.108,63.787,0.2084,5.6783,0.0005,21723,22639,,239,43.5111,0.0153,1,,warmup
engine_seqs_64,11,afhaker,1,1,40.383,64.816,0.1721,24.4331,0.0008,11736,12468,,952,39.1987,0.0157,1,,warmup
engine_seqs_64,16,doorpakker,1,4,62.762,64.827,0.3269,2.0644,0.0005,47511,49254,,90,51.2234,0.0147,1,,warmup
engine_seqs_64,10,worstelaar,1,3,62.801,65.718,0.351,2.9161,0.0005,17121,17967,,150,58.0866,0.0143,1,,warmup
engine_seqs_64,4,doorpakker,1,3,61.633,65.978,0.2802,4.3453,0.0005,45478,47118,,175,42.8033,0.0145,1,,warmup
