run_id,student,persona,burst,step,start_s,end_s,ttft_s,total_s,connect_s,prompt_tokens,reported_prompt_tokens,cached_prompt_tokens,output_tokens,decode_tps,itl_p50_s,ok,error,phase
rampup,2,afhaker,1,0,0.095,3.033,1.2459,2.9377,0.08,3371,3851,,39,22.4617,0.0083,1,,measure
rampup,4,gemiddelde,1,0,0.173,3.72,2.4332,3.5468,0.002,10498,11121,,87,77.2276,0.0084,1,,measure
rampup,1,worstelaar,1,0,0.087,4.676,1.1584,4.5891,0.0877,5419,5990,,162,46.93,0.0086,1,,measure
rampup,0,gemiddelde,1,0,0.074,5.0,1.0772,4.9255,0.1003,12396,13123,,212,54.8297,0.0086,1,,measure
rampup,4,gemiddelde,1,1,3.732,5.168,0.2567,1.4355,0.001,12408,13045,,88,73.804,0.0087,1,,measure
rampup,1,worstelaar,1,1,4.678,5.579,0.1231,0.9012,0.0005,5624,6207,,57,71.9662,0.009,1,,measure
rampup,0,gemiddelde,1,1,5.001,5.919,0.1418,0.9172,0.0005,12603,13343,,59,74.8018,0.0087,1,,measure
rampup,4,gemiddelde,1,2,5.173,9.106,0.1727,3.933,0.0005,13531,14182,,137,36.1676,0.0087,1,,measure
rampup,2,afhaker,1,1,3.036,9.412,0.1005,6.3757,0.0005,4165,4658,,323,51.3138,0.0087,1,,measure
rampup,0,gemiddelde,1,2,5.92,9.783,2.0009,3.8619,0.0005,12849,13601,,177,94.5696,0.0086,1,,measure
rampup,3,doorpakker,1,0,0.146,9.85,2.229,9.7039,0.0289,19517,20387,,470,62.7432,0.0086,1,,measure
rampup,2,afhaker,1,2,9.414,10.423,0.0945,1.008,0.0005,4536,5043,,68,73.3452,0.0081,1,,measure
rampup,0,gemiddelde,1,3,9.787,10.721,0.1672,0.9333,0.0006,13812,14578,,74,95.2838,0.0074,1,,measure
rampup,3,doorpakker,1,1,9.853,11.96,0.1669,2.1069,0.0006,19987,20871,,210,107.7299,0.0074,1,,measure
rampup,0,gemiddelde,1,4,10.723,12.511,0.1365,1.7881,0.0005,14039,14819,,183,110.1936,0.0074,1,,measure
rampup,0,gemiddelde,1,5,12.516,13.77,0.1872,1.254,0.0007,15254,16048,,115,106.8639,0.0074,1,,measure
rampup,3,doorpakker,1,2,11.961,13.821,0.149,1.86,0.0005,20187,21083,,185,107.5412,0.0074,1,,measure
rampup,3,doorpakker,1,3,13.822,15.331,0.2081,1.5085,0.0003,20443,21353,,154,117.6589,0.0065,1,,measure
rampup,3,doorpakker,1,4,15.333,16.466,0.1947,1.1327,0.0004,21229,22153,,108,114.0695,0.0065,1,,measure
rampup,3,doorpakker,1,5,16.468,17.703,0.1472,1.2349,0.0005,21522,22459,,130,118.5955,0.0066,1,,measure
rampup,3,doorpakker,1,6,17.705,19.726,0.1531,2.0204,0.0005,21747,22688,,245,130.6693,0.0066,1,,measure
rampup,3,doorpakker,1,7,19.727,20.734,0.1525,1.0065,0.0005,22062,23017,,121,140.5177,0.0066,1,,measure
rampup,3,doorpakker,1,8,20.736,21.783,0.1738,1.0475,0.0005,22270,23238,,115,130.4901,0.0066,1,,measure
rampup,3,doorpakker,1,9,21.786,23.606,0.1888,1.8199,0.0004,23053,24035,,208,126.9012,0.0067,1,,measure
rampup,3,doorpakker,1,10,23.61,25.326,0.2352,1.7158,0.0005,23769,24765,,183,122.923,0.0067,1,,measure
rampup,3,doorpakker,1,11,25.327,29.414,0.165,4.0862,0.0005,23961,24965,,582,148.1708,0.0068,1,,measure
rampup,3,doorpakker,1,12,29.415,31.019,0.1836,1.604,0.0005,24162,25179,,211,147.8475,0.0068,1,,measure
rampup,4,gemiddelde,2,0,62.46,63.686,0.1549,1.226,0.0007,13981,14646,,147,136.3185,0.0059,1,,measure
rampup,4,gemiddelde,2,1,63.69,66.653,0.1388,2.9635,0.0005,14617,15296,,361,127.4484,0.006,1,,measure
rampup,4,gemiddelde,2,2,66.657,67.375,0.1338,0.7177,0.0005,15303,15996,,75,126.7262,0.006,1,,measure
rampup,4,gemiddelde,2,3,67.378,68.437,0.1305,1.0595,0.0005,15808,16514,,129,137.7848,0.006,1,,measure
rampup,4,gemiddelde,2,4,68.439,69.078,0.1271,0.6389,0.0005,16023,16732,,68,130.9105,0.0061,1,,measure
rampup,4,gemiddelde,2,5,69.08,70.611,0.1414,1.5311,0.0005,16280,17002,,171,122.3287,0.0061,1,,measure
rampup,4,gemiddelde,2,6,70.614,71.876,0.1549,1.2617,0.0005,17060,17796,,142,127.3941,0.0062,1,,measure
rampup,3,doorpakker,2,0,74.781,75.606,0.1709,0.8249,0.0005,24387,25417,,99,149.8571,0.0068,1,,measure
rampup,3,doorpakker,2,1,75.611,77.016,0.2301,1.4042,0.0005,25623,26667,,153,129.4581,0.0069,1,,measure
rampup,3,doorpakker,2,2,77.017,77.681,0.1917,0.6636,0.0005,25859,26917,,70,146.2006,0.0069,1,,measure
rampup,3,doorpakker,2,3,77.683,78.904,0.1812,1.2201,0.0005,26260,27332,,151,144.3909,0.007,1,,measure
rampup,3,doorpakker,2,4,78.906,80.212,0.1888,1.3058,0.0005,26567,27653,,161,143.2363,0.007,1,,measure
rampup,3,doorpakker,2,5,80.213,81.015,0.1567,0.8021,0.0005,26786,27886,,94,144.1063,0.007,1,,measure
rampup,3,doorpakker,2,6,81.017,82.659,0.1729,1.6419,0.0003,27224,28338,,210,142.2769,0.0071,1,,measure
rampup,3,doorpakker,2,7,82.661,84.275,0.1396,1.6132,0.0005,27450,28568,,191,128.939,0.0071,1,,measure
rampup,3,doorpakker,2,8,84.289,85.592,0.1796,1.3027,0.0008,28225,29357,,140,123.7653,0.0071,1,,measure
rampup,3,doorpakker,2,9,85.596,89.538,0.147,3.9414,0.0005,28494,29639,,510,134.1434,0.0072,1,,measure
rampup,3,doorpakker,2,10,89.544,90.759,0.1446,1.2152,0.0005,28751,29910,,132,122.3632,0.0072,1,,measure
rampup,3,doorpakker,2,11,90.763,91.871,0.1658,1.1073,0.0005,29102,30276,,113,118.9559,0.0072,1,,measure
rampup,5,worstelaar,1,0,120.068,121.471,0.1996,1.4033,0.0523,6267,6812,,69,56.49,0.0071,1,,measure
rampup,6,gemiddelde,1,0,120.119,121.981,0.7777,1.8619,0.0017,15976,16742,,76,69.1762,0.0071,1,,measure
rampup,5,worstelaar,1,1,121.473,123.385,0.0898,1.9114,0.0005,6450,7008,,176,96.0698,0.0072,1,,measure
rampup,5,worstelaar,1,2,123.386,127.282,0.0858,3.896,0.0004,6656,7226,,377,98.683,0.0073,1,,measure
rampup,6,gemiddelde,1,1,121.985,127.788,0.1818,5.8025,0.0004,17178,17960,,409,72.5894,0.0072,1,,measure
rampup,6,gemiddelde,1,2,127.793,130.299,0.1892,2.5064,0.0006,18125,18924,,295,126.8792,0.0063,1,,measure
rampup,4,gemiddelde,3,0,140.232,141.593,0.5052,1.3608,0.0006,12384,13378,,150,174.1643,0.0058,1,,measure
rampup,4,gemiddelde,3,1,141.595,143.416,0.1367,1.8207,0.0005,12580,13586,,227,134.2029,0.0058,1,,measure
rampup,4,gemiddelde,3,2,143.416,144.731,0.1357,1.3143,0.0003,12785,13804,,205,173.0827,0.0058,1,,measure
rampup,4,gemiddelde,3,3,144.731,146.09,0.1334,1.3579,0.0003,12978,14009,,174,141.2792,0.0058,1,,measure
rampup,4,gemiddelde,3,4,146.091,147.058,0.1378,0.9663,0.0005,13190,14235,,125,149.657,0.0058,1,,measure
rampup,4,gemiddelde,3,5,147.06,148.474,0.1379,1.4134,0.0006,13528,14587,,188,146.6108,0.0059,1,,measure
rampup,4,gemiddelde,3,6,148.475,149.817,0.1262,1.3423,0.0005,13717,14783,,187,152.9402,0.0059,1,,measure
rampup,4,gemiddelde,3,7,149.819,153.625,0.1261,3.8056,0.0005,13914,14993,,601,163.0651,0.0059,1,,measure
rampup,3,doorpakker,3,0,164.727,166.403,0.8169,1.6759,0.0005,18752,19998,,118,136.2035,0.0064,1,,measure
rampup,3,doorpakker,3,1,166.404,167.889,0.1331,1.4839,0.0005,18948,20207,,195,143.6134,0.0064,1,,measure
rampup,3,doorpakker,3,2,167.89,168.692,0.1549,0.8017,0.0005,19159,20431,,103,157.7029,0.0064,1,,measure
rampup,3,doorpakker,3,3,168.693,170.186,0.135,1.493,0.0005,19392,20678,,214,156.849,0.0064,1,,measure
rampup,3,doorpakker,3,4,170.187,173.543,0.1576,3.3558,0.0005,19585,20884,,479,149.4557,0.0064,1,,measure
rampup,3,doorpakker,3,5,173.545,176.662,0.1595,3.1165,0.0005,19772,21081,,460,155.2265,0.0065,1,,measure
rampup,3,doorpakker,3,6,176.664,180.442,0.1517,3.7781,0.0005,20194,21517,,560,154.1501,0.0065,1,,measure
rampup,3,doorpakker,3,7,180.444,182.217,0.1566,1.7726,0.0005,20461,21797,,250,154.0818,0.0065,1,,measure
rampup,3,doorpakker,3,8,182.218,184.352,0.1529,2.1333,0.0005,20672,22021,,286,143.9082,0.0065,1,,measure
rampup,3,doorpakker,3,9,184.353,185.522,0.1485,1.1687,0.0005,20869,22230,,142,138.2069,0.0065,1,,measure
rampup,3,doorpakker,3,10,185.524,188.025,0.1773,2.5007,0.0005,21393,22767,,354,151.9324,0.0066,1,,measure
rampup,3,doorpakker,3,11,188.027,189.241,0.1539,1.2139,0.0005,21599,22986,,162,151.8954,0.0066,1,,measure
rampup,0,gemiddelde,2,0,191.417,192.251,0.1504,0.8337,0.0007,15717,16526,,96,139.03,0.006,1,,measure
rampup,0,gemiddelde,2,1,192.253,193.63,0.1324,1.3776,0.0005,15934,16747,,207,165.437,0.0061,1,,measure
rampup,0,gemiddelde,2,2,193.632,195.119,0.1522,1.487,0.0005,16149,16973,,183,136.3564,0.0061,1,,measure
rampup,0,gemiddelde,2,3,195.122,196.813,0.1406,1.6908,0.0005,16710,17548,,254,163.2094,0.0061,1,,measure
rampup,0,gemiddelde,2,4,196.814,198.406,0.1371,1.5915,0.0005,16908,17759,,199,136.1361,0.0062,1,,measure
rampup,0,gemiddelde,2,5,198.408,201.437,0.1324,3.0297,0.0005,17271,18136,,391,134.6085,0.0062,1,,measure
rampup,0,gemiddelde,2,6,201.439,202.008,0.1515,0.5693,0.0005,17461,18334,,70,165.1256,0.0062,1,,measure
rampup,8,worstelaar,1,0,240.072,241.856,0.3242,1.783,0.0014,4811,5330,,183,124.7609,0.0062,1,,measure
rampup,8,worstelaar,1,1,241.859,243.212,0.0956,1.3526,0.0005,5447,5980,,148,116.9518,0.0062,1,,measure
rampup,7,worstelaar,1,0,240.051,244.87,0.2135,4.819,0.0225,5803,6361,,504,109.217,0.0063,1,,measure
rampup,8,worstelaar,1,2,243.213,245.043,0.096,1.8294,0.0005,5698,6245,,169,96.919,0.0077,1,,measure
rampup,8,worstelaar,1,3,245.045,245.788,0.1036,0.7427,0.0005,6104,6665,,61,93.8851,0.0082,1,,measure
rampup,7,worstelaar,1,1,244.873,246.833,0.0936,1.9597,0.0005,6241,6813,,183,97.5321,0.0076,1,,measure
rampup,7,worstelaar,1,2,246.834,248.042,0.1017,1.2079,0.0005,6429,7017,,131,117.5145,0.0074,1,,measure
rampup,6,gemiddelde,2,0,243.891,249.06,0.1722,5.1688,0.0004,18665,19478,,417,83.2576,0.0077,1,,measure
rampup,7,worstelaar,1,3,248.043,249.498,0.1046,1.4549,0.0005,6649,7240,,157,115.5255,0.0074,1,,measure
rampup,6,gemiddelde,2,1,249.064,255.535,0.1971,6.4706,0.0007,19573,20402,,662,105.3645,0.0064,1,,measure
rampup,6,gemiddelde,2,2,255.536,258.377,0.1449,2.8405,0.0005,19788,20639,,365,135.0342,0.0064,1,,measure
rampup,6,gemiddelde,2,3,258.378,262.822,0.1439,4.4437,0.0005,20011,20866,,574,133.2623,0.0064,1,,measure
rampup,6,gemiddelde,2,4,262.824,263.968,0.1566,1.144,0.0005,20466,21337,,136,136.7309,0.0065,1,,measure
rampup,6,gemiddelde,2,5,263.969,266.972,0.132,3.003,0.0002,20708,21587,,302,104.8426,0.0066,1,,measure
rampup,6,gemiddelde,2,6,266.979,269.455,0.235,2.4765,0.0003,22239,23136,,230,102.1614,0.0067,1,,measure
rampup,6,gemiddelde,2,7,269.457,272.078,0.1222,2.6201,0.0005,22436,23347,,312,124.5063,0.0067,1,,measure
rampup,3,doorpakker,4,0,271.065,272.946,0.1694,1.881,0.0004,21816,23217,,223,129.6981,0.0067,1,,measure
rampup,3,doorpakker,4,1,272.948,275.679,0.1771,2.7306,0.0005,22009,23425,,328,128.0634,0.0066,1,,measure
