t_s,t_wall,prefix_cache_queries,prefix_cache_hits,preemptions,kv_cache_usage,requests_running,requests_waiting,prompt_tokens,generation_tokens,request_success,iteration_tokens,prefix_cache_hit_rate_window
0.02,1789122234.9987,174174766.0,162841296.0,1.0,0.0,0.0,0.0,174174766.0,2476772.0,6655.0,13810242.0,
2.04,1789122237.0121,174222934.0,162849616.0,1.0,0.0539,3.0,2.0,174202732.0,2476849.0,6655.0,13831117.0,0.1727
4.05,1789122239.0252,174259459.0,162866640.0,1.0,0.105,5.0,0.0,174242716.0,2476888.0,6655.0,13861444.0,0.4661
6.06,1789122241.0354,174307277.0,162896720.0,1.0,0.1398,7.0,0.0,174292325.0,2477252.0,6656.0,13881401.0,0.6291
8.08,1789122243.0556,174339754.0,162912688.0,1.0,0.1638,9.0,2.0,174315660.0,2478080.0,6656.0,13892772.0,0.4917
10.1,1789122245.0695,174400517.0,162942960.0,1.0,0.2112,12.0,2.0,174363461.0,2478198.0,6656.0,13917611.0,0.4982
12.17,1789122247.1418,174449585.0,162969280.0,1.0,0.2647,15.0,0.0,174429806.0,2478454.0,6656.0,13949348.0,0.5364
14.18,1789122249.159,174492716.0,162992272.0,1.0,0.2935,18.0,0.0,174470257.0,2479836.0,6656.0,13969613.0,0.5331
16.19,1789122251.1681,174567792.0,163058512.0,1.0,0.2995,17.0,1.0,174551425.0,2480982.0,6662.0,13982439.0,0.8823
18.24,1789122253.2103,174679057.0,163165184.0,1.0,0.3312,19.0,0.0,174679057.0,2482971.0,6667.0,13996844.0,0.9587
20.25,1789122255.2237,174800432.0,163280336.0,1.0,0.3429,19.0,0.0,174800432.0,2484781.0,6673.0,14004877.0,0.9487
22.26,1789122257.2364,174876308.0,163355328.0,1.0,0.347,19.0,0.0,174856270.0,2487265.0,6677.0,14007983.0,0.9883
24.28,1789122259.2504,174997524.0,163473776.0,1.0,0.353,19.0,0.0,174997524.0,2489421.0,6684.0,14013169.0,0.9772
26.29,1789122261.2663,175082234.0,163553168.0,1.0,0.3347,17.0,0.0,175082234.0,2491331.0,6691.0,14020397.0,0.9372
28.31,1789122263.2808,175194892.0,163664368.0,1.0,0.3363,17.0,0.0,175194892.0,2493496.0,6697.0,14024020.0,0.9871
30.32,1789122265.2947,175300728.0,163767040.0,1.0,0.3457,17.0,0.0,175278810.0,2495523.0,6702.0,14029021.0,0.9701
32.33,1789122267.3091,175400454.0,163862400.0,1.0,0.3334,16.0,0.0,175400454.0,2497323.0,6708.0,14035377.0,0.9562
34.36,1789122269.3339,175478468.0,163936528.0,1.0,0.3418,16.0,0.0,175478468.0,2499181.0,6712.0,14041121.0,0.9502
36.38,1789122271.3583,175577223.0,164032848.0,1.0,0.326,15.0,0.0,175577223.0,2501161.0,6718.0,14045536.0,0.9753
38.4,1789122273.3722,175664827.0,164117248.0,1.0,0.3367,15.0,0.0,175664827.0,2503007.0,6722.0,14050586.0,0.9634
40.41,1789122275.389,175779229.0,164230528.0,1.0,0.3407,15.0,0.0,175779229.0,2504945.0,6727.0,14053646.0,0.9902
42.43,1789122277.4052,175891459.0,164338640.0,1.0,0.3476,15.0,0.0,175891459.0,2506537.0,6732.0,14059356.0,0.9633
44.45,1789122279.4193,175981866.0,164426944.0,1.0,0.3518,15.0,0.0,175981866.0,2508413.0,6736.0,14063335.0,0.9767
46.46,1789122281.4323,176070766.0,164509056.0,1.0,0.3645,15.0,0.0,176052409.0,2509950.0,6740.0,14071303.0,0.9236
48.47,1789122283.4463,176206694.0,164637968.0,1.0,0.3716,15.0,0.0,176173517.0,2511673.0,6746.0,14075094.0,0.9484
50.48,1789122285.4588,176321560.0,164751456.0,1.0,0.3761,15.0,0.0,176321560.0,2512930.0,6751.0,14083034.0,0.988
52.5,1789122287.4709,176474513.0,164899488.0,1.0,0.383,15.0,0.0,176450664.0,2514385.0,6758.0,14088985.0,0.9678
54.51,1789122289.4833,176540008.0,164964400.0,1.0,0.3869,15.0,0.0,176540008.0,2516267.0,6761.0,14091875.0,0.9911
56.53,1789122291.5039,176585838.0,165007168.0,1.0,0.3756,14.0,0.0,176585838.0,2518033.0,6764.0,14096703.0,0.9332
58.54,1789122293.5174,176675254.0,165093808.0,1.0,0.3712,14.0,0.0,176675254.0,2519724.0,6768.0,14101170.0,0.969
60.56,1789122295.5335,176730127.0,165148256.0,1.0,0.3704,13.0,0.0,176730127.0,2521545.0,6771.0,14103416.0,0.9923
62.57,1789122297.5468,176861149.0,165274016.0,1.0,0.3787,13.0,0.0,176861149.0,2522710.0,6776.0,14109843.0,0.9598
64.59,1789122299.5618,176933546.0,165342800.0,1.0,0.368,12.0,0.0,176933546.0,2524104.0,6780.0,14114850.0,0.9501
66.6,1789122301.5696,177024463.0,165430432.0,1.0,0.3734,12.0,0.0,176985095.0,2525483.0,6783.0,14116578.0,0.9639
68.61,1789122303.5847,177095956.0,165498368.0,1.0,0.3812,12.0,0.0,177095956.0,2526693.0,6786.0,14124281.0,0.9502
70.62,1789122305.5984,177192803.0,165593856.0,1.0,0.3847,12.0,0.0,177192803.0,2528121.0,6790.0,14127068.0,0.986
72.64,1789122307.6142,177299635.0,165698400.0,1.0,0.3635,11.0,0.0,177299635.0,2529461.0,6795.0,14130696.0,0.9786
74.65,1789122309.6285,177351274.0,165749424.0,1.0,0.3578,11.0,0.0,177351274.0,2530995.0,6797.0,14132845.0,0.9881
76.67,1789122311.6413,177451457.0,165848064.0,1.0,0.3612,11.0,0.0,177451457.0,2532322.0,6801.0,14135715.0,0.9846
78.69,1789122313.6614,177562194.0,165954832.0,1.0,0.3692,11.0,0.0,177562194.0,2533477.0,6805.0,14140839.0,0.9642
80.7,1789122315.6748,177664829.0,166053136.0,1.0,0.3452,10.0,0.0,177664829.0,2534580.0,6810.0,14146273.0,0.9578
82.71,1789122317.6889,177704211.0,166091440.0,1.0,0.3307,10.0,0.0,177704211.0,2535975.0,6812.0,14148746.0,0.9726
84.73,1789122319.7037,177830468.0,166210048.0,1.0,0.3408,10.0,0.0,177830468.0,2536768.0,6817.0,14157188.0,0.9394
86.75,1789122321.7212,177859015.0,166238336.0,1.0,0.3433,10.0,0.0,177859015.0,2538178.0,6818.0,14158857.0,0.9909
88.76,1789122323.7357,177941195.0,166319296.0,1.0,0.3467,10.0,0.0,177941195.0,2539463.0,6821.0,14161362.0,0.9852
90.78,1789122325.7518,177985868.0,166362544.0,1.0,0.3196,9.0,0.0,177985868.0,2540736.0,6824.0,14164060.0,0.9681
92.79,1789122327.7652,178038590.0,166413648.0,1.0,0.3235,9.0,0.0,178038590.0,2541923.0,6826.0,14166865.0,0.9693
94.81,1789122329.7813,178067208.0,166442128.0,1.0,0.3259,9.0,0.0,178067208.0,2543200.0,6827.0,14168280.0,0.9952
96.83,1789122331.8054,178087297.0,166452496.0,1.0,0.3181,9.0,0.0,178087297.0,2544062.0,6828.0,14178863.0,0.5161
98.85,1789122333.8194,178151309.0,166514496.0,1.0,0.3126,9.0,0.0,178151309.0,2545242.0,6830.0,14182055.0,0.9686
100.86,1789122335.8328,178192470.0,166554960.0,1.0,0.281,8.0,0.0,178192470.0,2546469.0,6833.0,14183979.0,0.9831
102.87,1789122337.8469,178333519.0,166691312.0,1.0,0.348,11.0,0.0,178301870.0,2547495.0,6836.0,14187653.0,0.9667
104.89,1789122339.8624,178423167.0,166779120.0,1.0,0.3251,10.0,0.0,178423167.0,2548711.0,6841.0,14192758.0,0.9795
106.91,1789122341.8814,178498910.0,166854064.0,1.0,0.3276,10.0,0.0,178498910.0,2550026.0,6844.0,14194872.0,0.9895
108.92,1789122343.8942,178538813.0,166875232.0,1.0,0.3475,11.0,0.0,178513382.0,2550972.0,6845.0,14196050.0,0.5305
110.93,1789122345.9069,178607091.0,166942192.0,1.0,0.3489,10.0,0.0,178578003.0,2551722.0,6849.0,14215901.0,0.9807
112.95,1789122347.9269,178756284.0,167088816.0,1.0,0.3795,11.0,0.0,178756284.0,2552906.0,6853.0,14220374.0,0.9828
114.96,1789122349.9373,178874081.0,167203072.0,1.0,0.387,11.0,0.0,178858581.0,2554144.0,6858.0,14224421.0,0.9699
116.98,1789122351.9502,179010936.0,167337760.0,1.0,0.3917,11.0,0.0,179010936.0,2555324.0,6863.0,14228500.0,0.9842
118.99,1789122353.9631,179096752.0,167421664.0,1.0,0.379,10.0,0.0,179096752.0,2556579.0,6867.0,14231667.0,0.9777
121.0,1789122355.9773,179218229.0,167540336.0,1.0,0.358,9.0,0.0,179218229.0,2557680.0,6872.0,14235573.0,0.9769
123.02,1789122357.99,179294859.0,167612864.0,1.0,0.3486,9.0,0.0,179294859.0,2558771.0,6875.0,14240766.0,0.9465
125.03,1789122360.0041,179375003.0,167692112.0,1.0,0.3557,9.0,0.0,179375003.0,2560018.0,6878.0,14242909.0,0.9888
