t_s,t_wall,prefix_cache_queries,prefix_cache_hits,preemptions,kv_cache_usage,requests_running,requests_waiting,prompt_tokens,generation_tokens,request_success,iteration_tokens,prefix_cache_hit_rate_window
0.02,1789122672.5441,189778344.0,177557728.0,1.0,0.0,0.0,0.0,189778344.0,2702603.0,7289.0,14923219.0,
2.04,1789122674.5591,189778344.0,177557728.0,1.0,0.0,0.0,0.0,189778344.0,2702603.0,7289.0,14923219.0,
4.05,1789122676.5694,189778344.0,177557728.0,1.0,0.0,0.0,0.0,189778344.0,2702603.0,7289.0,14923219.0,
6.06,1789122678.5822,189800633.0,177564688.0,1.0,0.0398,1.0,0.0,189800633.0,2702664.0,7289.0,14938609.0,0.3123
8.08,1789122680.596,189800633.0,177564688.0,1.0,0.0404,1.0,0.0,189800633.0,2702971.0,7289.0,14938916.0,
10.09,1789122682.6109,189823219.0,177587024.0,1.0,0.0405,1.0,0.0,189823219.0,2703257.0,7290.0,14939452.0,0.9889
12.1,1789122684.6251,189869484.0,177632576.0,1.0,0.0418,1.0,0.0,189869484.0,2703524.0,7292.0,14940432.0,0.9846
14.2,1789122686.725,189869484.0,177632576.0,1.0,0.0,0.0,0.0,189869484.0,2703606.0,7293.0,14940514.0,
16.22,1789122688.7391,189945902.0,177644560.0,1.0,0.0579,1.0,0.0,189869484.0,2703606.0,7293.0,14940514.0,0.1568
18.23,1789122690.7539,189945902.0,177644560.0,1.0,0.0834,1.0,0.0,189869484.0,2703606.0,7293.0,14940514.0,
20.25,1789122692.7686,189945902.0,177644560.0,1.0,0.1017,1.0,0.0,189869484.0,2703606.0,7293.0,14940514.0,
22.26,1789122694.781,189945902.0,177644560.0,1.0,0.1199,1.0,0.0,189869484.0,2703606.0,7293.0,14940514.0,
24.27,1789122696.7948,189945902.0,177644560.0,1.0,0.1345,1.0,2.0,189869484.0,2703606.0,7293.0,14940514.0,
26.29,1789122698.8088,189990090.0,177658240.0,1.0,0.1601,2.0,1.0,189945902.0,2703612.0,7293.0,15004954.0,0.3096
28.3,1789122700.822,189990090.0,177658240.0,1.0,0.1893,2.0,1.0,189945902.0,2703620.0,7293.0,15004962.0,
30.32,1789122702.8354,190068281.0,177669952.0,1.0,0.2374,3.0,0.0,189990090.0,2703635.0,7293.0,15035485.0,0.1498
32.33,1789122704.8479,190068281.0,177669952.0,1.0,0.2665,3.0,0.0,189990090.0,2703651.0,7293.0,15035501.0,
34.34,1789122706.8608,190068281.0,177669952.0,1.0,0.2848,3.0,0.0,189990090.0,2703661.0,7293.0,15035511.0,
36.35,1789122708.875,190068281.0,177669952.0,1.0,0.3031,3.0,1.0,189990090.0,2703671.0,7293.0,15035521.0,
38.37,1789122710.8887,190068281.0,177669952.0,1.0,0.3176,3.0,1.0,189990090.0,2703679.0,7293.0,15035529.0,
40.38,1789122712.904,190113424.0,177683728.0,1.0,0.3359,4.0,0.0,190068281.0,2703691.0,7293.0,15102020.0,0.3052
42.4,1789122714.9173,190113424.0,177683728.0,1.0,0.3651,4.0,1.0,190068281.0,2703715.0,7293.0,15102044.0,
