run_id,student,persona,burst,step,start_s,end_s,ttft_s,total_s,connect_s,prompt_tokens,reported_prompt_tokens,cached_prompt_tokens,output_tokens,decode_tps,itl_p50_s,ok,error,phase
scen_na_de_stilte,14,worstelaar,1,0,1.034,1.799,0.1557,0.7645,0.0008,4720,5200,,86,139.609,0.0064,1,,opbouw
scen_na_de_stilte,14,worstelaar,1,1,1.801,4.583,0.1417,2.7813,0.0005,5278,5772,,154,57.9643,0.0082,1,,opbouw
scen_na_de_stilte,1,gemiddelde,1,0,2.284,7.12,0.8629,4.8361,0.0007,10688,11363,,333,83.5586,0.008,1,,opbouw
scen_na_de_stilte,12,gemiddelde,1,0,2.254,7.967,0.5693,5.7123,0.0295,14424,14956,,136,26.2492,0.0082,1,,opbouw
scen_na_de_stilte,1,gemiddelde,1,1,7.121,10.264,0.8372,3.1421,0.0005,10970,11658,,159,68.5521,0.0089,1,,opbouw
scen_na_de_stilte,13,worstelaar,1,0,0.225,12.863,0.2723,12.6375,0.0005,9150,9799,,1005,81.1954,0.008,1,,opbouw
scen_na_de_stilte,6,gemiddelde,1,0,8.177,14.58,0.71,6.4018,0.0004,14212,14952,,259,45.3284,0.009,1,,opbouw
scen_na_de_stilte,7,worstelaar,1,0,13.282,15.416,0.4508,2.1342,0.0005,8858,9481,,60,35.0474,0.0117,1,,opbouw
scen_na_de_stilte,1,gemiddelde,1,2,10.265,15.608,0.1245,5.3427,0.0005,11250,11940,,174,33.153,0.0117,1,,opbouw
scen_na_de_stilte,19,gemiddelde,1,0,11.431,15.865,1.8528,4.4333,0.0004,15863,16629,,120,46.1145,0.0119,1,,opbouw
scen_na_de_stilte,9,gemiddelde,1,0,13.88,16.128,0.4554,2.247,0.0012,12326,12988,,126,69.7725,0.0119,1,,opbouw
scen_na_de_stilte,5,afhaker,1,0,10.45,17.047,0.2145,6.5961,0.0014,5459,5978,,203,31.6536,0.0119,1,,opbouw
scen_na_de_stilte,16,doorpakker,1,0,11.109,17.18,1.6392,6.0698,0.0007,22720,23707,,219,49.2036,0.012,1,,opbouw
scen_na_de_stilte,9,gemiddelde,1,1,16.13,17.245,0.2606,1.1153,0.0004,12707,13383,,57,65.5195,0.0121,1,,opbouw
scen_na_de_stilte,1,gemiddelde,1,3,15.611,17.418,0.2523,1.8073,0.0005,11783,12487,,103,65.5955,0.0121,1,,opbouw
scen_na_de_stilte,8,gemiddelde,1,0,12.423,17.498,1.1002,5.0751,0.0008,10966,11667,,203,50.8191,0.0119,1,,opbouw
scen_na_de_stilte,16,doorpakker,1,1,17.182,19.21,0.2314,2.027,0.0005,23321,24322,,84,46.225,0.0126,1,,opbouw
scen_na_de_stilte,13,worstelaar,1,1,12.865,19.732,0.7708,6.866,0.0005,9657,10323,,307,50.2039,0.0121,1,,opbouw
scen_na_de_stilte,11,afhaker,1,0,18.162,20.8,0.2258,2.6378,0.0012,5388,5972,,111,45.6049,0.0127,1,,opbouw
scen_na_de_stilte,6,gemiddelde,1,1,14.582,20.848,0.159,6.2657,0.0005,14699,15457,,354,57.8059,0.0124,1,,opbouw
scen_na_de_stilte,8,gemiddelde,1,1,17.499,20.9,0.3837,3.4008,0.0005,11192,11907,,143,47.0653,0.0126,1,,opbouw
scen_na_de_stilte,9,gemiddelde,1,2,17.249,22.535,0.677,5.2856,0.0005,13691,14381,,216,46.6517,0.0127,1,,opbouw
scen_na_de_stilte,8,gemiddelde,1,2,20.901,22.7,0.96,1.7987,0.0004,11413,12144,,46,53.6544,0.0132,1,,opbouw
scen_na_de_stilte,7,worstelaar,1,1,15.417,23.455,0.1238,8.0373,0.0005,9038,9673,,317,39.9314,0.0126,1,,opbouw
scen_na_de_stilte,19,gemiddelde,1,1,15.866,23.569,0.1516,7.7025,0.0005,16152,16931,,288,38.0089,0.0161,1,,opbouw
scen_na_de_stilte,8,gemiddelde,1,3,22.701,23.943,0.1256,1.2416,0.0003,11673,12417,,45,39.4245,0.013,1,,opbouw
scen_na_de_stilte,5,afhaker,1,1,17.05,24.157,0.1283,7.1069,0.0005,6203,6736,,286,40.8391,0.0128,1,,opbouw
