t_s,t_wall,prefix_cache_queries,prefix_cache_hits,preemptions,kv_cache_usage,requests_running,requests_waiting,prompt_tokens,generation_tokens,request_success,iteration_tokens,prefix_cache_hit_rate_window
0.02,1789123102.3937,197806943.0,185222064.0,1.0,0.0,0.0,0.0,197806943.0,2747241.0,7402.0,15332120.0,
2.04,1789123104.4078,197827714.0,185236368.0,1.0,0.0229,2.0,0.0,197827714.0,2747591.0,7403.0,15338937.0,0.6887
4.05,1789123106.4237,197854033.0,185249328.0,1.0,0.0581,4.0,0.0,197854033.0,2748150.0,7403.0,15352855.0,0.4924
6.07,1789123108.4371,197854033.0,185249328.0,1.0,0.0541,3.0,0.0,197854033.0,2748974.0,7404.0,15353679.0,
8.08,1789123110.4525,197886885.0,185272080.0,1.0,0.0561,3.0,0.0,197886885.0,2749447.0,7406.0,15364252.0,0.6926
10.1,1789123112.4662,197921060.0,185295632.0,1.0,0.101,5.0,0.0,197921060.0,2750157.0,7406.0,15375585.0,0.6892
12.11,1789123114.479,197980055.0,185330944.0,1.0,0.1402,8.0,1.0,197956348.0,2750667.0,7407.0,15388055.0,0.5986
14.12,1789123116.4921,198041143.0,185368352.0,1.0,0.1853,12.0,0.0,198028155.0,2751006.0,7408.0,15417769.0,0.6124
16.14,1789123118.5138,198095691.0,185421504.0,1.0,0.1822,11.0,0.0,198095691.0,2752656.0,7413.0,15426843.0,0.9744
18.18,1789123120.5525,198190967.0,185508032.0,1.0,0.2097,13.0,0.0,198190967.0,2754132.0,7418.0,15437067.0,0.9082
20.2,1789123122.5652,198246558.0,185552896.0,1.0,0.2307,15.0,0.0,198246558.0,2755648.0,7420.0,15449310.0,0.807
22.22,1789123124.5863,198303721.0,185598128.0,1.0,0.2532,16.0,0.0,198303721.0,2756976.0,7423.0,15462569.0,0.7913
24.23,1789123126.5981,198355421.0,185644176.0,1.0,0.2376,14.0,0.0,198355421.0,2758894.0,7429.0,15470139.0,0.8907
26.24,1789123128.6112,198408437.0,185696528.0,1.0,0.2117,12.0,0.0,198408437.0,2760927.0,7434.0,15472836.0,0.9875
28.26,1789123130.6254,198444588.0,185729936.0,1.0,0.2182,12.0,0.0,198444588.0,2762676.0,7437.0,15477328.0,0.9241
30.27,1789123132.638,198507716.0,185787616.0,1.0,0.2133,11.0,0.0,198493471.0,2764300.0,7441.0,15482027.0,0.9137
32.28,1789123134.651,198567156.0,185843216.0,1.0,0.2325,12.0,0.0,198567156.0,2765683.0,7444.0,15489623.0,0.9354
34.29,1789123136.6645,198613002.0,185888560.0,1.0,0.2353,12.0,0.0,198613002.0,2767504.0,7446.0,15491946.0,0.9891
36.31,1789123138.6785,198736963.0,186010848.0,1.0,0.2366,12.0,0.0,198736963.0,2769119.0,7453.0,15495234.0,0.9865
38.32,1789123140.6928,198787529.0,186060784.0,1.0,0.1802,8.0,0.0,198787529.0,2770771.0,7459.0,15497516.0,0.9875
40.34,1789123142.7081,198895529.0,186164416.0,1.0,0.1724,7.0,0.0,198895529.0,2771881.0,7465.0,15502994.0,0.9596
42.35,1789123144.7232,198988658.0,186255552.0,1.0,0.1767,7.0,0.0,198971700.0,2772984.0,7469.0,15505836.0,0.9786
44.37,1789123146.7377,199065516.0,186331840.0,1.0,0.1791,7.0,0.0,199065516.0,2774167.0,7472.0,15507843.0,0.9926
46.38,1789123148.75,199108349.0,186373744.0,1.0,0.1599,6.0,0.0,199108349.0,2775340.0,7475.0,15509945.0,0.9783
48.39,1789123150.7635,199167213.0,186429744.0,1.0,0.164,6.0,0.0,199167213.0,2776289.0,7478.0,15513758.0,0.9513
50.41,1789123152.7772,199218110.0,186480112.0,1.0,0.1125,4.0,0.0,199218110.0,2777337.0,7482.0,15515335.0,0.9896
52.42,1789123154.7906,199263665.0,186524160.0,1.0,0.1138,4.0,0.0,199263665.0,2778300.0,7484.0,15517805.0,0.9669
54.43,1789123156.8039,199263665.0,186524160.0,1.0,0.0938,3.0,0.0,199263665.0,2779114.0,7485.0,15518619.0,
56.45,1789123158.818,199289305.0,186549488.0,1.0,0.0948,3.0,0.0,199289305.0,2779761.0,7486.0,15519578.0,0.9878
58.46,1789123160.8307,199304602.0,186564336.0,1.0,0.0786,2.0,0.0,199304602.0,2780403.0,7488.0,15520669.0,0.9706
60.47,1789123162.8442,199348461.0,186605328.0,1.0,0.1001,3.0,0.0,199348461.0,2780944.0,7489.0,15524077.0,0.9346
62.49,1789123164.8566,199348461.0,186605328.0,1.0,0.1013,3.0,0.0,199348461.0,2781595.0,7489.0,15524728.0,
64.5,1789123166.8702,199399123.0,186651584.0,1.0,0.1062,3.0,0.0,199399123.0,2782094.0,7491.0,15529633.0,0.913
66.51,1789123168.8844,199399123.0,186651584.0,1.0,0.0894,2.0,0.0,199399123.0,2782653.0,7492.0,15530192.0,
68.53,1789123170.8971,199399123.0,186651584.0,1.0,0.0903,2.0,0.0,199399123.0,2783137.0,7492.0,15530676.0,
70.54,1789123172.9109,199399123.0,186651584.0,1.0,0.0911,2.0,0.0,199399123.0,2783621.0,7492.0,15531160.0,
