t_s,t_wall,prefix_cache_queries,prefix_cache_hits,preemptions,kv_cache_usage,requests_running,requests_waiting,prompt_tokens,generation_tokens,request_success,iteration_tokens,prefix_cache_hit_rate_window
0.02,1789125123.2299,220134856.0,202845264.0,2.0,0.0,0.0,0.0,220064489.0,3110547.0,8305.0,20330908.0,
2.04,1789125125.2478,220144655.0,202846400.0,2.0,0.0179,1.0,0.0,220074288.0,3110761.0,8305.0,20339785.0,0.1159
4.06,1789125127.2631,220155627.0,202854672.0,2.0,0.0236,2.0,0.0,220085260.0,3111328.0,8306.0,20343052.0,0.7539
6.07,1789125129.2779,220181946.0,202861856.0,2.0,0.053,3.0,0.0,220111579.0,3111682.0,8307.0,20362541.0,0.273
8.09,1789125131.2926,220181946.0,202861856.0,2.0,0.0544,3.0,0.0,220111579.0,3112444.0,8307.0,20363303.0,
10.1,1789125133.3087,220223133.0,202898080.0,2.0,0.0606,3.0,0.0,220133543.0,3113033.0,8310.0,20364640.0,0.8795
12.12,1789125135.3236,220235070.0,202909792.0,2.0,0.0622,3.0,0.0,220164703.0,3113724.0,8311.0,20369771.0,0.9812
14.13,1789125137.3379,220260751.0,202932080.0,2.0,0.0684,3.0,0.0,220190384.0,3114347.0,8313.0,20373787.0,0.8679
16.15,1789125139.3526,220294638.0,202950592.0,2.0,0.0963,4.0,0.0,220224271.0,3114764.0,8314.0,20389579.0,0.5463
18.16,1789125141.3711,220309590.0,202959136.0,2.0,0.1093,5.0,0.0,220239223.0,3115621.0,8314.0,20396844.0,0.5714
20.18,1789125143.3851,220325047.0,202974128.0,2.0,0.1116,5.0,0.0,220254680.0,3116673.0,8315.0,20398361.0,0.9699
22.2,1789125145.4029,220361330.0,202996944.0,2.0,0.1287,7.0,0.0,220273593.0,3117595.0,8316.0,20402308.0,0.6288
24.21,1789125147.4198,220401666.0,203016848.0,2.0,0.173,9.0,0.0,220331299.0,3117696.0,8316.0,20433283.0,0.4935
26.23,1789125149.4394,220445931.0,203055024.0,2.0,0.1855,10.0,0.0,220358645.0,3119134.0,8318.0,20440563.0,0.8624
28.25,1789125151.4544,220524410.0,203119472.0,2.0,0.2075,12.0,0.0,220454043.0,3120090.0,8322.0,20455797.0,0.8212
30.26,1789125153.4706,220608235.0,203201808.0,2.0,0.2121,12.0,0.0,220537868.0,3121877.0,8327.0,20459073.0,0.9822
32.28,1789125155.4856,220657276.0,203248320.0,2.0,0.2171,12.0,0.0,220586909.0,3123612.0,8330.0,20463337.0,0.9484
34.29,1789125157.4999,220731758.0,203320912.0,2.0,0.1717,9.0,0.0,220661391.0,3125084.0,8338.0,20466699.0,0.9746
36.31,1789125159.5157,220766393.0,203349696.0,2.0,0.12,5.0,0.0,220696026.0,3126129.0,8344.0,20473595.0,0.8311
38.34,1789125161.5441,220828684.0,203406384.0,2.0,0.1301,6.0,0.0,220758317.0,3127077.0,8347.0,20480146.0,0.9101
40.35,1789125163.56,220840528.0,203413312.0,2.0,0.1408,7.0,0.0,220770161.0,3128176.0,8347.0,20486161.0,0.5849
42.37,1789125165.5748,220898453.0,203460160.0,2.0,0.1602,8.0,0.0,220805627.0,3128982.0,8349.0,20487377.0,0.8088
44.38,1789125167.5902,220980089.0,203537792.0,2.0,0.1669,8.0,0.0,220909722.0,3130093.0,8353.0,20503159.0,0.951
46.4,1789125169.6086,221061044.0,203617872.0,2.0,0.1697,8.0,0.0,220990677.0,3131404.0,8357.0,20505345.0,0.9892
48.42,1789125171.6244,221135364.0,203685312.0,2.0,0.1825,9.0,0.0,221050758.0,3132569.0,8360.0,20511023.0,0.9074
50.43,1789125173.6395,221186918.0,203735440.0,2.0,0.1865,9.0,0.0,221116551.0,3133912.0,8363.0,20516159.0,0.9723
52.45,1789125175.6537,221259145.0,203804736.0,2.0,0.1925,9.0,0.0,221188778.0,3135189.0,8366.0,20520367.0,0.9594
54.47,1789125177.6728,221323378.0,203868032.0,2.0,0.1592,7.0,0.0,221253011.0,3136579.0,8371.0,20522694.0,0.9854
